time,X_value,Y_value,Z_value
0.0084,0.23703,5.66246,8.95698
0.0542,-0.61054,5.46374,8.88755
0.0936,0.05746,5.68161,7.75745
0.1328,0.29928,5.59781,7.98251
0.1729,-0.10295,5.61697,8.08307
0.2132,0.11253,5.49725,8.28898
0.2530,0.31844,5.66246,7.78139
0.2934,-0.23703,5.57387,8.24349
0.3334,0.63448,5.37994,8.71995
0.3749,0.23464,5.52359,8.18124
0.4145,-0.75420,6.25145,6.75185
0.4531,-0.01915,6.17723,7.38634
0.4933,-1.25221,6.14610,8.01364
0.5328,-1.99683,6.63214,7.13973
0.5736,-1.08461,6.80213,6.46454
0.6140,-1.19953,6.56510,7.11339
0.6526,-1.86035,6.38793,7.46056
0.6928,-1.42459,6.25385,7.31930
0.7327,-1.18038,6.21793,6.95297
0.7729,-0.85476,6.11498,7.06072
0.8133,-0.80687,6.28497,6.63932
0.8528,-0.85954,6.42863,6.40947
0.8926,-0.97447,6.18920,6.74946
0.9328,-1.15165,6.23709,6.20117
0.9727,-0.73025,6.14610,5.87555
1.0158,-0.75420,6.06230,6.03836
1.0535,-0.72307,6.21793,6.06709
1.0932,-0.68955,6.11019,6.26103
1.1336,-0.45012,5.77739,6.58426
1.1731,-0.74701,5.98569,5.45176
1.2170,-0.52913,6.47891,4.18998
1.2536,-0.45012,6.15089,4.77179
1.2934,-1.04630,5.66007,4.77179
1.3324,-0.66561,6.21554,4.30012
1.3731,-2.19076,4.97291,4.56588
1.4139,-1.10855,4.40547,4.98967
1.4537,-0.19394,4.18040,4.78137
1.4932,-0.27774,3.30410,3.33283
1.5327,1.48924,3.69197,3.36635
1.5738,-0.11493,3.96252,3.62254
1.6154,-2.58342,4.67362,9.95300
1.6536,-1.63050,6.37595,9.95539
1.6936,-0.24900,7.15649,8.64333
1.7365,-3.69915,10.11581,12.52685
1.7728,3.21551,13.40315,15.36167
1.8133,-0.53871,15.89798,11.58590
1.8533,-3.32804,11.48534,23.04729
1.8933,-6.72073,11.67927,24.04091
1.9328,-7.19480,11.33689,-2.09978
1.9726,-2.97848,7.12057,-1.50121
2.0125,-6.46933,5.50444,-6.41187
2.0535,0.35196,1.62092,-5.36318
2.0931,-2.59061,1.32403,-1.70472
2.1351,0.75659,4.46053,-9.83808
2.1731,3.00003,9.41668,-13.66891
2.2132,2.59539,14.01369,-7.89392
2.2567,4.33603,10.15891,-10.25707
2.2933,0.21070,6.71355,-13.15175
2.3338,-0.23703,6.64411,-5.66007
2.3732,-3.15087,8.26264,-5.83724
2.4126,-1.02714,8.88994,-1.50121
2.4532,2.54511,10.98014,1.73106
2.4934,4.96573,9.72554,-2.15724
2.5337,2.40385,7.77660,-3.22988
2.5737,1.86993,7.37197,-3.96731
2.6132,1.97288,8.01603,-4.80770
2.6534,1.80289,8.81572,-5.52599
2.6930,1.60416,8.47813,-6.51722
2.7327,2.20273,8.16927,-5.59542
2.7733,1.43896,8.47573,-4.76940
2.8126,1.98485,8.50207,-4.01999
2.8535,4.26181,7.17085,-5.13333
2.8926,0.33999,7.77660,-4.04632
2.9328,4.11815,8.42066,-3.32565
2.9735,1.40305,8.43982,-5.94738
3.0137,-0.27774,8.22912,-7.19958
3.0526,1.10376,8.64094,-6.10061
3.0929,0.16760,8.49010,-5.53317
3.1325,0.35196,8.73431,-6.79735
3.1728,0.52195,8.63136,-5.51162
3.2124,0.04070,9.58189,-8.18603
3.2530,1.53473,9.78540,-8.46376
3.2931,0.25379,9.71597,-4.71193
3.3326,-2.60976,9.32091,-6.63214
3.3732,-2.44695,8.69601,-4.30969
3.4135,-4.84601,8.15969,-1.15883
3.4523,-3.25382,7.47732,-2.69835
3.4945,1.02236,6.35201,-0.38787
3.5331,-1.65205,5.66964,3.85239
3.5745,-1.54431,4.61377,7.58267
3.6147,-7.33845,4.82446,7.98251
3.6554,-6.99607,4.18280,11.83011
3.6937,-4.68799,4.46772,8.82051
3.7336,-5.89231,4.47251,10.22834
3.7746,-4.99446,3.94098,8.69361
3.8128,-3.75662,3.96971,7.21634
3.8533,-5.64091,3.52437,8.43982
3.8953,-4.14449,4.54912,6.59144
3.9417,0.77575,5.62655,7.59703
3.9882,0.18436,5.25783,7.58985
4.0282,0.28731,5.52359,7.18282
4.0692,0.07422,5.28656,7.69041
4.1082,-0.15802,4.90347,7.20198
4.1481,0.44055,5.03037,6.64651
4.1888,0.11253,4.68799,6.73749
4.2301,0.30407,4.70236,6.46694
4.2680,0.38548,4.68799,6.25385
4.3078,0.30168,4.73109,6.34722
4.3501,0.55547,4.59461,7.57309
4.3883,0.02155,4.33603,6.94579
4.4284,0.38787,4.11336,5.89949
4.4682,-0.36154,3.45254,6.04554
4.5082,-0.38069,3.33283,3.81408
4.5486,1.31446,3.81169,3.98407
4.5894,0.40463,3.14608,5.76781
4.6298,-1.09658,3.25143,5.41106
4.6682,-0.79011,2.21470,5.29374
4.7088,0.13887,2.38230,6.22511
4.7499,-1.30249,1.42220,5.78457
4.7879,5.82288,3.00481,6.03357
4.8287,4.93221,5.48289,6.40229
4.8710,9.05275,6.48848,12.61543
4.9081,1.98725,7.02959,21.14384
4.9488,3.43339,13.58751,20.74400
4.9889,-6.05033,13.53484,23.96190
5.0285,-14.41593,11.44463,9.85484
5.0679,-6.00724,6.88833,-1.37910
5.1091,-2.49244,0.90264,-7.00325
5.1488,-3.24424,-0.39266,-13.94905
5.1882,1.09658,2.46850,-11.08549
