time,X_value,Y_value,Z_value
0.0084,28.08000,-32.40000,-27.24000
0.0542,28.86000,-30.60000,-28.14000
0.0939,29.94000,-31.44000,-27.24000
0.1329,30.42000,-30.06000,-27.42000
0.1730,29.28000,-30.18000,-28.44000
0.2132,30.42000,-30.96000,-27.96000
0.2531,29.70000,-29.82000,-27.54000
0.2934,30.12000,-30.90000,-27.60000
0.3334,30.30000,-31.68000,-27.30000
0.3749,30.60000,-32.28000,-26.16000
0.4145,31.68000,-32.46000,-24.06000
0.4531,33.42000,-32.70000,-21.42000
0.4933,35.10000,-33.54000,-21.24000
0.5328,36.00000,-32.88000,-19.02000
0.5736,36.48000,-33.24000,-18.06000
0.6140,36.30000,-32.34000,-17.58000
0.6526,36.36000,-31.62000,-19.68000
0.6928,36.96000,-33.06000,-19.32000
0.7327,36.90000,-32.46000,-18.90000
0.7729,35.76000,-32.10000,-19.92000
0.8133,34.92000,-33.24000,-18.78000
0.8536,35.52000,-34.14000,-18.24000
0.8926,35.04000,-33.78000,-17.28000
0.9328,35.04000,-35.16000,-15.96000
0.9727,35.16000,-35.64000,-14.76000
1.0157,34.68000,-36.84000,-13.86000
1.0535,33.48000,-37.44000,-11.58000
1.0932,33.84000,-38.64000,-10.92000
1.1336,32.10000,-39.48000,-9.78000
1.1731,31.38000,-40.38000,-8.34000
1.2169,30.30000,-40.80000,-5.70000
1.2536,29.58000,-42.06000,-3.78000
1.2934,27.72000,-43.14000,-2.82000
1.3324,26.10000,-43.80000,-2.64000
1.3732,24.54000,-44.22000,-1.80000
1.4139,22.14000,-45.84000,0.54000
1.4537,19.92000,-47.04000,2.34000
1.4932,17.58000,-46.80000,4.50000
1.5327,14.52000,-48.90000,8.46000
1.5738,10.02000,-48.78000,10.20000
1.6154,7.38000,-49.74000,11.10000
1.6537,1.98000,-50.28000,10.08000
1.6936,-3.36000,-51.54000,9.12000
1.7372,-7.68000,-51.36000,5.88000
1.7728,-12.36000,-52.08000,3.84000
1.8133,-15.90000,-51.18000,2.58000
1.8533,-17.70000,-51.18000,-1.92000
1.8933,-17.16000,-51.06000,-6.78000
1.9328,-16.56000,-51.72000,-1.50000
1.9726,-16.74000,-52.50000,5.64000
2.0125,-19.32000,-52.08000,13.20000
2.0535,-24.06000,-49.68000,18.36000
2.0931,-31.62000,-46.62000,19.86000
2.1351,-37.68000,-42.54000,21.78000
2.1731,-42.72000,-38.34000,23.16000
2.2132,-45.96000,-36.36000,23.46000
2.2568,-47.76000,-34.50000,24.24000
2.2933,-46.80000,-32.76000,28.26000
2.3338,-47.22000,-32.22000,29.28000
2.3732,-48.66000,-31.74000,26.70000
2.4126,-50.88000,-32.76000,24.00000
2.4532,-53.46000,-31.68000,22.08000
2.4934,-56.88000,-29.46000,20.40000
2.5337,-57.00000,-28.44000,20.22000
2.5737,-58.08000,-28.50000,20.40000
2.6133,-57.06000,-27.78000,22.02000
2.6534,-57.06000,-27.12000,22.32000
2.6933,-57.18000,-26.40000,22.86000
2.7327,-57.18000,-26.76000,23.46000
2.7733,-57.30000,-25.92000,24.06000
2.8126,-57.42000,-25.74000,22.92000
2.8535,-56.76000,-25.68000,23.16000
2.8926,-57.54000,-25.68000,22.32000
2.9328,-56.22000,-27.24000,21.72000
2.9735,-54.66000,-28.26000,23.16000
3.0137,-52.98000,-30.24000,23.46000
3.0526,-52.02000,-31.08000,24.72000
3.0929,-49.80000,-32.58000,24.96000
3.1331,-48.00000,-33.36000,25.74000
3.1728,-46.68000,-35.46000,26.04000
3.2125,-43.44000,-36.90000,26.94000
3.2530,-41.82000,-37.14000,27.24000
3.2931,-38.34000,-39.00000,27.30000
3.3326,-29.88000,-46.32000,24.54000
3.3732,-25.02000,-48.48000,21.78000
3.4135,-20.46000,-52.38000,18.72000
3.4523,-18.06000,-53.58000,14.46000
3.4945,-17.58000,-53.88000,10.38000
3.5331,-15.06000,-55.02000,3.42000
3.5745,-10.86000,-55.62000,-2.46000
3.6147,-6.18000,-56.04000,-8.28000
3.6554,-1.68000,-54.30000,-12.36000
3.6937,-1.80000,-53.88000,-15.48000
3.7336,0.36000,-52.74000,-17.82000
3.7746,1.68000,-51.90000,-18.66000
3.8128,2.70000,-52.80000,-18.60000
3.8533,4.14000,-52.26000,-19.02000
3.8953,5.46000,-51.54000,-18.78000
3.9416,3.84000,-49.56000,-20.04000
3.9882,3.06000,-49.98000,-19.86000
4.0282,3.84000,-49.68000,-19.44000
4.0692,3.84000,-50.34000,-19.62000
4.1083,3.96000,-50.28000,-19.50000
4.1482,4.02000,-50.70000,-18.54000
4.1888,1.56000,-50.04000,-18.36000
4.2301,1.86000,-49.86000,-18.06000
4.2681,0.66000,-50.52000,-17.58000
4.3078,0.42000,-50.88000,-17.52000
4.3505,0.48000,-50.22000,-17.28000
4.3884,-1.14000,-50.58000,-16.32000
4.4285,-0.36000,-50.22000,-14.94000
4.4682,-0.90000,-51.06000,-13.98000
4.5082,-1.62000,-51.66000,-12.78000
4.5486,-2.46000,-51.78000,-11.22000
4.5894,-2.76000,-52.02000,-10.38000
4.6298,-3.00000,-52.26000,-10.02000
4.6682,-2.88000,-52.08000,-8.52000
4.7088,-3.00000,-52.20000,-6.78000
4.7499,-4.56000,-52.92000,-4.98000
4.7879,-6.66000,-52.44000,-2.34000
4.8287,-8.58000,-52.02000,-2.28000
4.8710,-9.84000,-52.50000,-4.50000
4.9081,-7.50000,-52.14000,-8.94000
4.9488,-2.40000,-54.06000,-8.34000
4.9889,2.58000,-54.48000,-5.82000
5.0285,7.80000,-54.24000,-0.36000
5.0679,7.98000,-53.28000,13.26000
5.1099,5.28000,-49.08000,27.06000
5.1488,-1.80000,-39.96000,36.96000
5.1882,-6.00000,-33.42000,43.44000
5.2279,-9.00000,-28.98000,46.08000
5.2678,-16.08000,-24.48000,44.52000
5.3101,-20.94000,-20.76000,44.16000
5.3485,-27.78000,-17.88000,40.56000
5.3895,-33.30000,-17.58000,36.12000
5.4280,-39.78000,-15.30000,30.24000
5.4683,-38.70000,-18.30000,31.50000
5.5087,-40.56000,-21.12000,29.22000
5.5484,-43.38000,-23.34000,24.66000
5.5895,-44.70000,-24.36000,22.50000
5.6338,-44.28000,-25.74000,22.80000
5.6697,-46.38000,-27.30000,21.96000
5.7087,-46.86000,-26.46000,19.38000
5.7489,-48.78000,-27.18000,17.88000
5.7878,-49.98000,-27.90000,14.52000
5.8284,-50.88000,-28.08000,11.94000
5.8685,-52.50000,-27.30000,9.78000
5.9084,-52.20000,-27.00000,8.76000
5.9480,-52.74000,-27.90000,6.00000
5.9888,-53.40000,-27.66000,3.48000
6.0286,-53.22000,-27.54000,0.60000
6.0679,-54.42000,-27.06000,-2.58000
6.1090,-15.72000,-45.60000,-12.12000
6.1544,-15.54000,-45.96000,-10.32000
6.1961,-17.16000,-46.86000,-9.66000
6.2344,-18.06000,-45.78000,-8.64000
6.2761,-17.94000,-46.32000,-7.26000
6.3145,-18.36000,-45.42000,-7.02000
6.3543,-18.30000,-47.22000,-6.00000
6.3949,-18.48000,-47.34000,-4.80000
6.4353,-18.12000,-47.46000,-3.30000
6.4741,-17.88000,-47.40000,-1.86000
6.5167,-18.00000,-48.12000,-0.54000
6.5546,-17.82000,-48.60000,1.86000
6.5948,-19.56000,-48.42000,4.74000
6.6352,-20.94000,-47.16000,6.84000
