time,X_value,Y_value,Z_value
0.0000,0.00000,0.00000,0.00000
0.0082,-2.39427,2.02316,9.41908
0.0572,-3.12213,2.48765,9.05754
0.0972,-2.41582,2.45174,10.08708
0.1382,-1.52755,2.80130,8.34405
0.1782,-3.04791,2.30329,8.49489
0.2073,-2.11414,2.50202,9.90033
0.2491,-1.74303,3.19636,9.14134
0.2872,-2.27217,2.73426,9.12937
0.3273,-2.30808,2.94496,8.90670
0.3675,-2.26020,2.89468,9.49091
0.4095,-2.37991,2.70553,9.15092
0.4472,-2.47329,2.91383,8.67206
0.4870,-1.79092,3.23227,9.05036
0.5281,-2.36554,2.72468,9.40950
0.5671,-2.55709,2.81567,8.71756
0.6069,-2.26020,2.97608,8.83727
0.6473,-2.45892,2.83482,8.84685
0.6875,-2.48526,2.83482,9.08388
0.7277,-2.19076,2.89468,9.34007
0.7690,-2.23146,2.93059,9.16289
0.8081,-2.24104,2.93059,9.17965
0.8475,-2.29132,3.08861,8.88276
0.8873,-2.33442,3.03115,8.97374
0.9288,-2.24104,3.09101,9.20599
0.9678,-2.31766,3.10537,8.94022
1.0084,-2.16921,3.17241,8.96895
1.0481,-2.04950,3.07185,8.93783
1.0882,-1.87472,3.14368,9.29936
1.1280,-1.68557,3.12932,9.67766
1.1683,-1.69515,3.51958,8.97374
1.2075,-1.80768,3.56268,8.12856
1.2497,-1.66402,3.58423,8.85163
1.2872,-1.54910,3.40705,9.17486
1.3270,-1.55149,3.25621,9.15331
1.3675,-1.65205,3.16523,8.73431
1.4071,-1.90345,3.02157,9.10064
1.4471,-1.90345,2.71750,9.34725
1.4886,-2.21710,2.61934,9.28739
1.5271,-1.56346,2.43258,10.06314
1.5687,-1.77655,2.47329,9.55076
1.6076,-1.70951,2.26498,9.55076
1.6471,-1.68078,2.32245,8.94022
1.6881,-2.00640,2.33921,8.74629
1.7271,-1.72627,2.29372,9.13655
1.7677,-1.83401,2.08781,8.90431
1.8077,-1.86753,2.09499,9.18683
1.8474,-1.62571,1.81007,10.40073
1.8894,-1.66402,1.81486,9.75667
1.9268,-1.77655,1.94655,9.64893
1.9685,-1.75740,1.90345,9.64893
2.0074,-1.83641,1.96091,9.51485
2.0471,-1.75500,1.95852,9.40711
2.0873,-2.03992,1.86753,9.75188
2.1277,-1.98964,1.67839,9.78061
2.1678,-2.12612,1.80049,9.16050
2.2069,-2.11414,1.81007,9.27542
2.2471,-2.18597,1.76458,9.50288
2.2869,-2.43737,1.78373,9.03360
2.3271,-2.37751,1.87711,9.19641
2.3671,-2.37273,1.83880,9.42626
2.4078,-2.32963,1.77176,9.47415
2.4469,-2.53793,1.82923,9.43823
2.4879,-2.46371,1.88669,9.23951
2.5273,-2.25780,1.98007,9.20120
2.5670,-2.09499,1.99204,9.69202
2.6071,-2.26498,1.93936,9.26824
2.6471,-2.19555,2.13809,9.22035
2.6867,-2.07823,2.17879,9.28021
2.7269,-2.20992,2.09020,9.44541
2.7666,-2.19316,2.09978,9.22754
2.8067,-2.29132,2.01359,9.37837
2.8469,-2.37512,2.00640,9.10782
2.8878,-2.32005,1.98485,9.04557
2.9270,-2.24104,2.01837,9.43823
2.9666,-2.20992,2.03513,9.27303
3.0066,-2.07344,2.17640,9.12458
3.0467,-2.03513,2.04950,9.40471
3.0868,-2.12372,2.04471,9.39035
3.1271,-2.15485,1.98964,9.23711
3.1671,-2.17161,1.98246,9.24669
3.2069,-2.14766,2.00401,8.97614
3.2468,-2.06865,1.87232,9.41668
3.2868,-2.20034,1.89148,9.07670
3.3266,-2.06865,1.69994,9.41429
3.3669,-2.22428,1.72388,9.33288
3.4078,-2.16442,1.56107,9.47175
3.4471,-2.16203,1.55867,9.14374
3.4878,-2.16682,1.51558,9.20120
3.5289,-2.22189,1.17080,9.60344
3.5671,-2.31287,1.05109,9.87160
3.6068,-2.10936,1.04151,9.58668
3.6488,-2.18358,0.92658,9.68724
3.6870,-2.15964,0.96250,9.67048
3.7273,-2.03513,0.93137,9.58668
3.7673,-2.19076,0.82124,9.66808
3.8085,-2.05429,0.79729,9.58428
3.8467,-1.73345,0.96489,9.62020
3.8866,-2.05429,0.79011,9.86920
3.9270,-2.23146,0.73025,9.81413
3.9672,-0.76617,1.77895,9.28739
4.0071,-2.29132,0.34717,12.36643
4.0470,-1.85796,0.82842,9.65372
4.0870,-0.98884,2.02795,8.67925
