time,X_value,Y_value,Z_value
0,0,0,0
0.0081,17.7,-34.56,-7.56
0.0571,17.1,-33.66,-8.34
0.0972,15.9,-34.08,-7.38
0.1382,16.26,-35.4,-6.72
0.1782,16.68,-35.04,-6.6
0.1979,16.5,-35.34,-7.38
0.2384,15.48,-35.22,-7.86
0.2774,15.84,-35.82,-6.48
0.3192,15.9,-35.82,-5.82
0.3587,17.04,-35.52,-5.94
0.3997,16.08,-35.52,-6.72
0.437,15.6,-35.58,-6.12
0.4781,16.62,-35.46,-5.64
0.5187,16.5,-36.42,-6.3
0.5575,16.56,-35.16,-4.8
0.5989,16.74,-35.76,-6.3
0.6375,17.04,-36.12,-5.64
0.6791,16.56,-36.66,-5.52
0.7174,17.22,-37.08,-5.52
0.7586,17.58,-36.72,-5.94
0.7973,17.34,-37.08,-4.74
0.8378,18.18,-37.2,-5.1
0.8781,17.22,-37.56,-4.14
0.9182,18.12,-36.6,-5.1
0.9574,16.32,-36.54,-5.1
0.9976,17.58,-36.3,-5.94
1.0373,17.34,-37.8,-5.58
1.077,17.58,-37.2,-5.34
1.1185,17.46,-37.5,-5.28
1.1571,17.34,-37.2,-5.46
1.1972,18.3,-38.7,-3.54
1.2378,18.18,-37.56,-4.56
1.2771,17.22,-36.72,-4.62
1.3176,17.64,-36.18,-6.54
1.3583,16.98,-35.4,-6.24
1.3975,17.28,-35.4,-6.48
1.4373,17.82,-34.86,-7.02
1.4774,18.12,-34.02,-7.5
1.5191,16.98,-33.36,-7.62
1.5568,17.16,-33.18,-8.46
1.5977,18.12,-33.54,-8.52
1.6376,17.82,-32.7,-8.52
1.6786,18.78,-33.6,-7.92
1.7191,17.94,-32.82,-8.64
1.7577,19.02,-33.78,-8.34
1.7978,18.06,-33.9,-8.28
1.8374,18.42,-32.46,-8.22
1.8773,17.22,-33.24,-9.72
1.9183,17.1,-32.16,-8.88
1.9573,17.94,-32.58,-9.66
1.997,18.12,-32.52,-9.54
2.0376,17.88,-31.44,-8.22
2.0772,17.46,-31.38,-9.6
2.1183,16.5,-31.2,-9.78
2.157,16.5,-31.14,-9.54
2.1978,16.38,-31.08,-9.18
2.237,16.68,-30.9,-8.1
2.2772,17.88,-30.66,-8.94
2.3169,17.7,-30.66,-8.46
2.357,18.9,-31.68,-8.4
2.3976,19.5,-31.62,-7.08
2.437,20.46,-30.84,-8.04
2.477,19.5,-31.62,-7.74
2.5173,19.38,-31.56,-7.2
2.557,18.72,-31.62,-7.56
2.5971,18.9,-29.94,-8.28
2.6374,17.64,-30.54,-8.34
2.6768,18.12,-30.42,-8.52
2.7166,18.12,-31.2,-8.04
2.757,19.98,-31.74,-7.26
2.7972,19.5,-31.68,-7.44
2.8391,19.92,-31.8,-8.7
2.8778,20.22,-32.46,-9.06
2.9176,19.74,-31.92,-8.82
2.9568,19.26,-31.92,-7.98
2.9969,19.8,-31.8,-7.86
3.0386,19.86,-31.8,-9.12
3.077,19.92,-32.1,-8.58
3.1173,18.3,-31.62,-9.6
3.1577,18.96,-30.06,-9
3.1978,18.36,-30.12,-9
3.2382,18.3,-30.66,-8.94
3.2773,18.12,-29.88,-9.48
3.3175,18.36,-29.4,-9.12
3.3573,17.7,-29.34,-10.26
3.3975,18.54,-29.82,-9.48
3.4368,18.9,-29.34,-10.5
3.4783,17.52,-27.96,-10.02
3.5171,18.48,-28.56,-9.66
3.5576,17.34,-27.66,-10.14
3.5975,16.98,-27.42,-11.58
3.6375,17.28,-27.54,-10.92
3.6771,17.16,-26.58,-10.44
3.7172,17.28,-26.7,-10.98
3.7574,17.28,-26.64,-11.04
3.797,17.64,-26.4,-11.46
3.837,16.74,-25.92,-11.4
3.877,17.1,-25.74,-10.62
3.9173,16.02,-25.8,-10.5
3.9588,16.02,-26.4,-10.8
3.9978,15.72,-25.8,-10.92
4.037,15.72,-25.68,-11.94
4.0767,15.3,-27.54,-11.04
4.1173,15.48,-27.6,-10.5
4.1606,16.62,-26.7,-10.62
4.1966,16.32,-28.02,-9.12
4.2376,16.02,-27.6,-9.18
4.2769,16.26,-27.54,-9.36
4.3175,16.92,-26.94,-8.82
4.3566,16.2,-27.54,-9.3
4.3978,16.2,-27.06,-8.7
