time,X_value,Y_value,Z_value
0.0397,3.68479,-8.19321,4.13012
0.0407,4.58743,-8.23152,4.61137
0.0407,4.47251,-8.26264,3.37114
0.0993,3.12692,-7.92026,3.23945
0.0993,2.73905,-7.98251,3.71352
0.0993,3.86197,-7.42704,4.51321
0.1589,3.59141,-8.13814,4.76461
0.1591,1.86753,-7.59225,4.06548
0.1591,2.02795,-7.35282,4.22829
0.2193,3.94337,-7.92266,4.36955
0.2196,4.84122,-9.14852,3.65845
0.2197,4.66884,-8.81572,4.12773
0.2794,2.89228,-8.58108,4.13012
0.2794,1.70472,-8.34644,3.38311
0.2794,1.80768,-9.13895,2.56427
0.3393,0.44773,-8.80375,2.61694
0.3398,0.63209,-8.94022,4.73588
0.3398,-0.47407,-8.56432,4.21871
0.3994,-3.21312,-8.6146,-2.71511
0.3995,3.95055,-5.19558,1.76937
0.3995,1.92979,-3.45494,-1.45811
0.4592,1.54431,-4.14928,-2.28653
0.4592,2.09978,-4.50603,-2.62413
0.4592,2.02556,-4.92263,-2.35597
0.519,-1.13967,-8.94501,5.16206
0.519,3.31368,-9.68724,2.43019
0.519,5.02079,-16.16854,0.73265
0.5805,2.81088,-17.82059,1.57783
0.5805,5.15008,-15.49096,-0.84757
0.5805,7.22832,-16.92034,-5.55472
0.6405,5.95696,-16.28825,-7.07987
0.6412,0.58181,-15.49335,-6.39511
0.6412,-10.73114,-16.26192,21.98902
0.7003,-5.47331,-12.03363,9.19402
0.7003,0.87391,-9.91948,-0.19872
0.7003,3.1365,-9.51724,-2.94975
0.7601,4.38392,-8.91628,-2.31766
0.7601,3.8069,-8.49249,-1.93457
0.7601,3.79732,-8.41109,-1.67839
0.82,3.17002,-9.07191,-0.80448
0.8204,3.28255,-9.05994,-0.09098
0.8204,2.99763,-9.17726,-0.28971
0.88,2.41582,-9.49809,-0.97447
0.88,2.29611,-9.59625,-1.14925
0.88,1.79571,-9.55555,-1.32403
0.9409,1.31206,-9.31852,-1.06545
0.942,1.43896,-9.21317,-0.62012
0.9421,2.57385,-9.52203,-0.60815
1.0006,3.03594,-9.64414,-1.24502
1.0006,2.77257,-9.09585,-2.00161
1.0006,2.42061,-8.62897,-2.3847
1.0608,2.32245,-8.37039,-2.36315
1.0608,2.24822,-8.26743,-2.14766
1.0608,2.08781,-8.24828,-1.86275
1.1203,1.98725,-8.56672,-1.63768
1.1207,2.01359,-8.81093,-1.4629
1.1207,2.06386,-8.4901,-1.37192
1.18,2.11654,-7.78379,-0.48843
1.18,2.88031,-7.00086,2.71511
1.18,4.08463,-7.24747,6.90509
1.2395,4.12294,-8.50925,8.91149
1.2402,-0.31604,-9.38316,-1.73585
1.2402,-2.19076,-7.7359,-8.06871
1.3002,-2.32724,-6.08625,-7.79576
1.3002,1.89148,-4.57306,-8.79178
1.3002,2.2171,-8.24349,-7.55394
1.3603,1.45572,-11.49252,-5.93541
1.3603,0.89546,-13.8437,-6.32807
1.3603,-4.81967,-23.93557,-7.41267
1.4198,-8.78699,-21.4958,-4.38392
1.4201,-2.62413,0.94574,10.9155
1.4201,6.70876,4.67841,-21.51974
1.4797,-6.13413,-11.44703,-15.36885
1.4797,-9.27781,-9.97215,-8.60023
1.4797,0.39027,8.60742,-21.4958
1.5402,-7.6545,-0.65843,-14.02806
1.5415,-2.66962,-11.67448,-11.61942
1.5415,-1.37671,-13.68807,-4.40068
1.5994,-6.82608,-7.40789,-4.94178
1.5994,-7.3169,-0.62012,-6.82368
1.5994,-6.22272,1.63768,-13.9251
1.6595,-6.48609,-2.81088,-16.09431
1.6595,-3.48367,-4.87474,-14.34171
1.6595,-5.55232,-5.17163,-8.42306
1.7195,-8.58348,-4.13491,-2.93059
1.7197,-6.30173,-2.19794,-1.9226
1.7197,-2.37033,-0.49561,-3.0096
