time,X_value,Y_value,Z_value
0,0,0,0
0.0596,-0.60575,7.70478,5.05431
0.06,-0.75899,7.47732,4.99206
0.06,-1.11573,7.44141,5.1453
0.1195,-1.11334,7.39113,4.77179
0.1254,-0.86433,7.13015,4.77897
0.1254,-1.10137,6.67284,5.3129
0.1803,-0.99362,6.1461,5.83964
0.1803,-0.83321,5.88513,5.49247
0.1803,-0.56265,6.12216,4.98249
0.2401,-0.61533,5.87555,4.28096
0.2401,-0.88349,5.69359,4.79334
0.2401,-1.36474,5.26262,5.44937
0.2997,-1.53952,4.8508,5.37036
0.3002,-1.20671,4.7694,4.61616
0.3002,-0.77575,4.73588,3.8883
0.3603,-0.56026,4.52518,3.99604
0.3603,-0.84518,4.13012,4.77658
0.3603,-1.10137,3.81408,4.9777
0.4206,-0.96729,3.72549,4.08463
0.4213,-0.52195,3.90506,3.41902
0.4213,-0.249,3.8907,3.51001
0.4804,-0.59617,4.1421,4.25941
0.4804,-1.4222,4.41025,4.50363
0.481,-2.09738,5.77978,4.55391
0.543,-2.93059,7.06072,3.79971
0.543,-4.52039,7.86519,1.55149
0.543,-4.79813,7.87716,0.78772
0.6071,-6.63932,8.37996,2.22907
0.6071,-8.20757,9.72076,3.01918
0.6071,-8.17166,10.42946,0.04549
0.6606,-6.69918,10.86282,-3.012
0.6606,-5.16445,10.20679,-2.36554
0.6606,-4.11576,9.8692,1.12291
0.7219,-3.10777,9.57471,3.12692
0.723,-2.78454,9.02642,3.26579
0.723,-3.83323,9.0312,3.05509
0.7804,-3.17241,8.19321,1.83641
0.7804,-0.57702,6.9434,0.9194
0.7804,1.19714,8.15969,-1.17798
0.8404,3.16763,10.86043,-5.07586
0.8404,6.80213,9.23472,-7.04396
0.8409,10.04877,7.54436,-4.82446
0.8995,11.10225,12.91472,3.82845
0.8996,2.64328,21.25158,12.45262
0.8998,-2.95214,23.69135,6.97452
0.9626,-0.33759,18.89322,1.27375
0.9626,-2.01359,11.33689,8.07589
0.9626,-17.03287,5.74626,18.3569
1.0219,-18.14142,3.5531,5.75823
1.0232,-6.76143,4.61856,-18.78309
1.0232,-10.18764,2.22428,-25.56128
1.0817,-11.78701,0.36154,-14.51649
1.0817,-7.62098,-3.01679,-0.02634
1.0817,-3.92182,-6.6513,3.42621
1.1403,-0.06704,-6.53637,-0.8763
1.1407,0.68955,-7.44859,-6.01681
1.1426,-5.71513,-10.37918,-8.26264
1.2034,-10.81494,-12.75191,-11.32731
1.2035,-9.22993,-11.94264,-15.0959
1.2035,-6.00245,-11.06873,-16.51571
1.2618,-4.71672,-10.37679,-15.08393
1.2618,-5.08783,-9.18204,-13.55638
1.2618,-5.70795,-8.84685,-12.40713
1.3217,-5.54275,-7.99688,-10.9969
1.3229,-6.31131,-6.84044,-8.92346
1.3229,-5.75823,-5.09741,-6.45018
1.3808,-6.89312,-5.18121,-6.32328
1.3808,-6.76143,-5.80372,-5.72711
1.3808,-5.70316,-5.09502,-5.99048
1.441,-5.20515,-3.91225,-6.96734
1.441,-2.89947,-1.35277,-8.97853
1.4411,-3.17241,-1.24023,-11.459
1.5027,-3.09101,-1.04151,-12.31615
1.5027,-4.10858,-1.17798,-11.24112
1.5028,-4.08703,-0.47407,-9.48612
1.5624,-2.48765,-0.7518,-8.89713
1.5624,-1.84838,-0.39506,-8.43982
1.5624,-4.14449,0.65364,-8.02561
1.6216,-7.15649,1.42938,-9.2012
1.6226,-7.83886,1.27136,-11.0424
1.6226,-7.26184,-0.0838,-12.09827
1.6816,-6.35201,-1.24742,-10.71917
1.6816,-5.61697,-1.99443,-8.91389
1.6817,-4.90587,-2.44216,-7.80294
1.7417,-3.73507,-2.02795,-8.29856
1.7417,-2.74623,-2.10696,-9.38795
1.7418,-2.62413,-1.74543,-9.34964
1.8,-5.07586,-2.11175,-7.68323
1.8005,-6.73749,-1.64487,-7.75984
1.8006,-6.20357,-1.22108,-9.17726
1.8621,-6.09103,-1.5898,-10.75269
1.8621,-6.11977,-2.13809,-10.64016
1.8621,-5.96653,-2.06147,-9.39035
1.9211,-5.92344,-1.58022,-8.76305
1.9221,-5.63133,-1.38629,-8.24109
1.9221,-6.15568,-1.4222,-8.01124
1.983,-6.98889,-1.07742,-8.6553
1.983,-8.03998,0.11014,-10.94184
1.983,-9.10303,1.0056,-11.77504
2.0434,-9.58668,1.43656,-9.97215
2.0434,-10.01046,1.76697,-8.1142
2.0434,-10.07271,2.32963,-8.5739
2.1027,-9.28979,2.93538,-9.11979
2.1027,-8.87558,3.36874,-8.61221
2.1027,-7.80534,3.68958,-7.88674
2.1617,-6.42144,4.09182,-6.92903
2.1617,-5.61697,4.30969,-5.80851
2.1617,-4.95615,4.44377,-5.27938
2.221,-4.6018,4.42462,-4.35519
2.2222,-3.8907,4.75264,-2.72947
2.2222,-3.84999,5.24346,-0.90743
2.2807,-3.6369,5.84203,0.30886
2.2807,-3.79493,5.66964,1.32643
2.2812,-4.3073,5.605,1.69275
2.3408,-3.91943,5.84442,1.76458
2.3408,-3.19636,6.30891,1.65444
2.3421,-2.43498,7.06072,1.28573
2.4006,-2.58342,7.95378,0.56265
2.4023,-3.40466,8.07349,0.62251
2.4023,-3.24664,8.31532,0.69434
2.4608,-3.02157,8.52841,0.54589
2.4612,-2.86834,8.8253,0.94813
2.4613,-2.36554,9.20838,1.46051
2.5213,-1.06306,9.25148,1.5491
2.5222,-0.12929,9.47175,1.82923
2.5223,-1.46769,9.95779,1.05109
2.5822,-2.4685,10.78381,-1.77176
2.5822,-1.51558,11.17647,-5.09023
2.5822,-0.64406,10.5372,-4.74545
2.6404,-0.00958,9.71118,-1.49882
2.6404,0.00958,9.21796,1.08221
2.6405,-1.2977,9.81413,1.44614
2.7021,-0.85954,11.38957,-1.81486
2.7021,-1.11573,12.07672,-3.07904
2.7021,-3.91703,11.6266,-2.01598
2.7612,-6.42623,10.36482,-0.73504
2.7612,-5.3129,9.80216,-0.12929
2.7612,-4.21871,9.69921,-0.00479
2.8228,-3.53156,8.97614,0.14366
2.8241,-2.94017,7.45098,0.55068
2.8241,-1.18517,5.71274,0.52195
2.883,0.68237,4.66884,2.33921
2.883,2.47329,5.38472,4.03435
2.883,3.28495,7.70238,5.04234
2.9406,3.08383,9.79737,4.88193
2.9406,1.61853,9.81413,3.37832
2.9423,1.82444,8.49489,2.09978
3.0032,2.8851,7.11818,2.18118
3.0032,4.23787,6.71834,3.20833
3.0032,2.87313,7.37676,4.23547
3.0613,1.3791,9.15571,5.02079
3.0613,-0.68476,9.48851,3.77098
3.0613,0.9194,8.97135,-0.34238
3.1207,2.14527,7.48211,-2.23865
3.1219,3.56986,7.2786,-1.36713
3.1219,2.64807,7.54197,0.65603
3.1823,3.0934,9.17726,2.64328
3.1824,3.62972,7.53239,2.68877
3.1824,3.79014,5.59303,1.99204
3.2418,2.98327,5.19797,0.72307
3.2425,1.77176,8.7391,-1.43656
3.2426,2.11654,11.09746,-1.54191
3.3016,2.11414,7.91787,5.37994
3.3016,3.08143,5.09023,11.00169
3.3018,1.65923,0.68476,10.10863
3.3613,2.31766,2.86834,7.34803
3.3613,3.17241,7.70238,7.57788
3.362,-0.56505,8.04476,6.80453
3.4243,-1.40783,2.77257,11.49731
3.4253,0.57223,1.19474,22.30506
3.4253,-2.15245,6.11977,17.064
3.4824,3.99126,5.82048,-1.93936
3.4824,7.33127,-2.47089,-4.50363
3.4824,8.84685,-3.17002,3.28495
3.5447,-2.62413,2.68159,3.69915
3.5447,-5.55951,4.70236,6.15568
3.5447,-5.7726,2.37512,18.96745
3.6013,-11.82053,-0.7542,22.15183
3.6013,-8.39433,2.45174,17.25793
3.6032,0.40703,-1.7574,12.91232
3.6624,-1.66881,-2.86116,20.76794
3.6624,-7.24508,-0.16999,21.29708
3.6624,-7.66886,4.0128,12.30418
