time,X_value,Y_value,Z_value
0.053,4.94022,-7.2493,4.38317
0.1137,4.94753,-7.24589,4.38053
0.1739,4.91661,-7.31995,4.29133
0.2322,4.83035,-7.46614,4.13455
0.2929,4.76374,-7.64184,3.8832
0.3541,4.37156,-7.94387,3.73559
0.415,4.10887,-8.13692,3.61634
0.4722,4.00321,-8.33407,3.26923
0.5325,4.30552,-8.26825,3.04445
0.5926,4.96873,-7.97075,2.81939
0.6579,5.51729,-7.72633,2.45633
0.7131,4.05605,-8.55675,2.54965
0.7728,2.61884,-9.19696,2.17433
0.8327,2.45278,-9.21805,2.27634
0.8934,2.14903,-9.26809,2.37788
0.9532,2.40859,-9.13856,2.6183
1.0139,2.27127,-9.24227,2.36474
1.0724,0.95625,-9.56592,1.93618
1.1327,-1.23085,-9.56158,1.79767
1.1926,-3.55755,-8.97068,1.74377
1.2527,-6.26313,-7.33309,1.78021
1.3141,-6.62863,-6.94216,2.00946
1.3725,-6.52433,-7.01886,2.08302
1.4337,-6.40317,-7.16298,1.96499
1.4926,-6.23394,-7.396,1.61473
1.5527,-6.03545,-7.66938,0.9612
1.6136,-6.04443,-7.70721,0.48359
1.6725,-5.9663,-7.78284,-0.02905
1.7326,-5.82171,-7.89163,0.00209
1.7944,-5.78866,-7.91565,-0.06336
1.8523,-5.78717,-7.90517,-0.43248
1.9136,-5.78215,-7.88477,-0.75304
1.9722,-5.79283,-7.8494,-1.00004
2.0332,-5.85333,-7.76831,-1.24977
2.0923,-5.8958,-7.66857,-1.61322
2.1516,-5.98169,-7.57337,-1.74168
2.217,-6.16791,-7.46378,-1.55525
2.2727,-6.27138,-7.50799,-0.68546
2.332,-6.22369,-7.55922,0.54209
2.3942,-6.25157,-7.37406,1.64653
2.4521,-6.16282,-7.21233,2.48439
2.5121,-6.10055,-7.00524,3.14325
2.5718,-6.17631,-6.80795,3.41688
2.6349,-6.23108,-6.69893,3.53106
2.6925,-6.27145,-6.72486,3.40814
2.7515,-6.2718,-6.74051,3.37642
2.8116,-6.3312,-6.51795,3.68815
2.8717,-6.37119,-6.64956,3.37069
2.9316,-6.40301,-6.62988,3.34907
2.9944,-6.7526,-6.67467,2.45384
3.0527,-6.64884,-6.99104,1.75739
3.1124,-6.45779,-7.32072,0.93494
3.1716,-6.21495,-7.57929,0.31449
3.2326,-6.21299,-7.5824,-0.27586
3.2931,-6.14745,-7.61306,-0.64829
3.3517,-6.0371,-7.55963,-1.60482
3.412,-6.31873,-7.37281,-1.37305
3.472,-6.40402,-7.27857,-1.47682
3.5322,-6.44047,-7.34532,-0.85827
3.5925,-6.38455,-7.40469,0.76034
3.6562,-6.29177,-7.24915,2.00842
3.7125,-6.06824,-7.12034,2.94066
3.7716,-5.84177,-7.0453,3.52246
3.8317,-5.89858,-6.8532,3.79615
3.8926,-6.03452,-6.76042,3.74852
3.9522,-6.3638,-6.80111,3.06873
4.0115,-6.42798,-6.71024,3.13434
4.0716,-6.35665,-6.77455,3.14143
4.132,-6.29249,-6.7139,3.39093
4.1935,-6.69599,-6.90932,1.8961
4.2528,-6.47075,-7.13724,1.83284
4.3138,-6.15028,-7.63675,0.15528
4.3734,-5.95455,-7.78302,-0.37172
4.4329,-6.08989,-7.64994,-0.74941
4.4934,-6.27956,-7.41534,-1.32277
4.5525,-6.32601,-7.24079,-1.92944
4.6135,-6.35966,-7.19823,-1.97745
4.6719,-6.49479,-7.20104,-1.4603
4.7325,-6.61687,-7.21965,0.51341
4.7934,-6.27966,-7.35742,1.61389
4.8526,-6.08261,-7.27145,2.50955
4.913,-5.86938,-7.26789,2.98302
4.9725,-5.74998,-7.28996,3.15664
5.0324,-5.92834,-7.18166,3.07385
5.0932,-6.15345,-6.92676,3.21329
5.1521,-6.37298,-6.53446,3.58553
