time,X_value,Y_value,Z_value
0,0,0,0
0.061,4.21632,-8.84924,3.62493
0.0627,4.08703,-8.13575,2.7582
0.0627,4.15167,-8.45897,3.03115
0.1192,4.46053,-7.79097,2.8875
0.1193,3.98168,-7.83167,2.88989
0.1193,4.13012,-8.17884,3.01918
0.1793,4.19956,-8.08307,3.21312
0.1797,4.16125,-8.41109,3.31128
0.1806,4.63053,-8.43982,2.78215
0.2395,4.52997,-8.08307,2.79412
0.2396,4.1804,-7.21874,2.94017
0.2396,3.5962,-9.56513,3.25382
0.3,3.73028,-8.97135,3.53156
0.3,4.34321,-8.52122,3.19636
0.3,4.46532,-8.71516,2.82285
0.3595,4.08463,-8.86121,2.91862
0.3605,3.44297,-9.13895,2.93538
0.3605,3.6393,-8.95459,2.86355
0.4195,3.63211,-8.68643,3.00481
0.4195,3.76859,-8.56672,2.91623
0.4195,3.94098,-7.94181,3.08861
0.4792,4.19716,-7.11339,2.66483
0.4793,2.59539,-6.4813,1.86993
0.4793,0.88828,-7.71435,2.97369
0.5395,0.7111,-8.28898,3.30889
0.5395,2.28414,-6.14131,1.69275
0.5395,2.24822,-5.75344,0.99123
0.5996,2.03274,-5.10938,2.2147
0.5997,0.94334,-6.10061,3.84042
0.5997,-0.68955,-8.26025,2.86595
0.6604,-1.68557,-9.67048,2.57863
0.6613,-7.2331,-18.00255,4.62574
0.6613,-6.42384,-20.70808,4.59461
0.7211,-0.4597,-14.06876,5.15008
0.7211,-6.63693,-14.25312,6.68721
0.7211,-8.88515,-5.84442,-1.19474
0.7791,-14.04003,-3.36156,-2.98327
0.7792,-6.72552,-1.69994,3.21312
0.7792,-6.45257,-5.31768,3.15326
0.8397,-6.66566,-8.24828,4.33124
0.8397,-5.83485,-8.6984,4.29293
0.8406,-5.7726,-7.74548,2.66722
0.8997,-5.79893,-6.75185,2.15964
0.8999,-6.05991,-6.05991,2.55709
0.8999,-5.69119,-6.42623,2.62652
0.9609,-5.58105,-6.97213,2.49244
0.962,-5.92583,-7.04875,2.62173
0.962,-6.33046,-7.21634,3.11974
1.0206,-6.46933,-6.97692,3.06946
1.0206,-5.94977,-6.66327,3.16523
1.0206,-6.05991,-6.36398,2.89947
1.0795,-6.37356,-6.52919,2.08781
1.0795,-6.82847,-6.97213,2.79172
1.0795,-7.10381,-7.44619,3.88112
1.1402,-6.29455,-7.21156,3.25861
1.1402,-4.94897,-7.43422,2.22907
1.1402,-4.26181,-8.01843,1.63529
1.1997,-5.16924,-6.76622,1.99683
1.1997,-6.273,-6.94819,3.13171
1.1999,-6.76861,-7.35521,3.17241
1.2619,-6.51961,-7.05114,2.61694
1.263,-5.82048,-6.44299,2.17161
1.263,-5.81569,-6.34962,1.47966
1.3191,-5.99766,-7.19719,1.16601
1.3192,-5.85879,-7.71914,0.75659
1.3196,-5.92344,-7.80055,1.62092
1.3796,-6.3999,-7.81012,2.57624
1.3796,-7.17804,-8.1956,1.96809
1.38,-7.12776,-8.52841,1.2546
1.4408,-6.18441,-8.13575,1.82444
1.4408,-2.36075,-10.06074,-1.11334
1.4409,-4.91066,-8.9929,0.57223
1.5007,-7.6521,-8.25307,-0.52674
1.5007,-9.67766,-6.07667,-2.61215
1.5014,-9.67287,-5.59063,-2.72468
1.5603,-10.24271,-7.39352,5.31529
1.5614,-5.87555,-7.85083,-2.09738
1.5614,-6.14131,-8.31053,0.36872
1.6192,-6.43342,-7.6545,0.94574
1.6192,-5.62415,-7.38394,-1.26178
1.6198,-4.77179,-7.96575,-1.8388
1.679,-4.48448,-8.4494,-0.49561
1.679,-4.68799,-9.01923,0.2921
1.6794,-4.8077,-8.76305,-0.26337
1.7392,-4.99446,-8.49728,-1.72388
1.7398,-5.36557,-8.66727,-1.93936
1.7398,-5.17163,-8.26982,-1.14207
1.8002,-5.84682,-8.62418,-0.73744
1.8002,-5.82048,-8.88755,-0.19633
1.8002,-5.40388,-8.55953,-0.668
1.8601,-5.36318,-8.51165,-1.63768
1.8611,-5.50683,-8.84924,-1.65205
1.8611,-4.63292,-7.68802,-1.43417
1.9195,-5.8564,-8.20757,-1.1277
1.9195,-5.53077,-8.16687,-1.17798
1.9195,-5.14769,-8.00167,-1.37192
1.9812,-4.86277,-7.98012,-1.20193
1.9812,-5.00643,-8.52601,-1.09658
1.9812,-4.92263,-8.56911,-0.35435
2.0401,-5.47571,-8.73192,-0.74941
2.0402,-5.95456,-8.91389,-0.2083
2.0402,-5.34881,-8.50207,-1.97528
2.0992,-5.3943,-8.43982,-1.01038
2.0998,-5.90668,-8.38715,-0.56505
2.0999,-5.52359,-8.24588,-0.75659
2.1594,-5.0184,-8.64094,-1.40783
2.1605,-4.52279,-8.52601,-0.79011
2.1605,-5.66485,-8.56432,-0.17478
2.2195,-5.71753,-8.7415,0.02634
2.2195,-5.96893,-8.028,-0.42618
2.2195,-6.1461,-7.99927,-1.64247
2.2807,-5.04234,-8.55235,-2.56906
2.2807,-4.04393,-8.26982,-2.17879
2.2807,-4.09421,-8.64333,-1.087
2.3403,-4.44138,-8.84924,-0.45731
2.3403,-4.75264,-8.78938,-0.65603
2.3403,-5.96893,-8.39912,-0.78293
2.3996,-5.81569,-8.29616,-0.80687
2.3996,-4.88193,-8.47334,-1.00799
2.3996,-4.49166,-8.68643,-1.01996
2.4601,-4.71433,-8.2794,-0.66321
2.461,-5.186,-8.51883,-0.56984
2.4611,-4.78376,-8.80135,-0.34238
2.5199,-5.44219,-9.15092,-0.2514
2.5207,-5.82766,-8.69122,-0.84039
2.5207,-5.37515,-8.10223,-0.94095
2.5813,-5.00403,-8.0304,-0.9194
2.5813,-5.53077,-8.1956,-0.18915
2.5813,-5.96653,-8.22433,-0.31604
2.6397,-5.41346,-7.72872,0.13408
2.6397,-5.21952,-9.10064,-1.12291
2.6397,-5.00882,-8.69122,-1.39826
2.6995,-5.34402,-7.88674,-0.32323
2.7004,-5.55711,-8.47573,-0.47646
2.7004,-5.67443,-8.72953,-0.82363
2.7594,-5.80133,-8.14772,-0.34478
2.7604,-6.25385,-7.39113,-0.39984
2.7604,-6.50285,-7.82449,-0.40463
2.8198,-5.59542,-8.37996,-0.86912
2.8199,-4.52518,-8.47813,-1.35277
2.8202,-4.60658,-9.21317,-1.89627
2.8808,-4.13252,-8.95938,-1.29291
2.8809,-4.36716,-8.9498,-1.20193
2.8809,-4.35758,-8.82051,-1.07742
2.9395,-4.98009,-8.59545,-0.419
2.9397,-4.74785,-8.52601,-1.05827
2.9397,-4.36716,-8.59784,-1.16362
2.9997,-5.51641,-8.11899,-1.3384
2.9997,-5.42064,-8.20039,-1.41502
2.9997,-5.76063,-8.5308,-1.53234
3.0593,-5.79415,-8.33447,-1.79331
3.0602,-5.78457,-8.14053,-2.39188
3.0603,-5.67204,-8.05913,-2.43737
3.1196,-5.30571,-8.29137,-2.25062
3.1196,-5.03755,-8.34165,-2.39188
3.1196,-4.58743,-8.54038,-2.45653
3.1809,-4.1421,-8.93543,-1.66163
3.1809,-4.04154,-9.00726,-1.50121
3.181,-3.86197,-9.19402,-1.13728
3.2398,-3.60817,-9.31373,-0.8787
3.2398,-3.52916,-9.33528,-1.11813
3.2401,-3.70155,-9.1581,-1.27375
3.2999,-4.02238,-8.98332,-1.62811
3.2999,-4.518,-8.72474,-1.72867
3.2999,-4.85559,-8.21715,-1.92979
3.3596,-4.99685,-8.00885,-1.5491
3.3607,-5.0591,-8.39672,-0.68716
3.3607,-5.12135,-8.32968,-1.20671
3.4194,-4.86277,-8.67925,-1.35755
3.4203,-4.56109,-9.23232,-1.34319
3.4203,-4.5156,-9.81653,-1.47008
3.4794,-4.92742,-10.0368,-1.4629
3.4797,-5.41585,-9.88357,-1.22826
3.4797,-5.73668,-9.32091,-1.39826
3.5407,-5.95456,-8.85403,-1.01757
3.5407,-6.74707,-7.92026,-0.98644
3.5407,-8.1956,-7.47253,-0.21548
3.5999,-8.14053,-6.83326,-0.14366
3.5999,-7.99448,-7.03438,-1.15404
3.5999,-6.94579,-6.86199,-0.93137
3.6599,-7.78379,-7.35521,-1.79092
3.6608,-6.33286,-7.23071,0.3352
3.6608,-7.15409,-7.30733,-0.51716
3.7195,-7.17085,-7.79576,-0.46449
3.7197,-6.78777,-7.6545,0.07183
3.7197,-7.60422,-8.26025,0.12929
3.7792,-6.49327,-6.6489,-0.36632
3.7792,-6.26821,-6.4406,-0.15084
3.7792,-5.71513,-6.44539,-0.32802
3.842,-5.63612,-6.75904,-0.27295
3.842,-5.20755,-6.45257,-0.34238
3.842,-5.47331,-6.7327,0.25379
3.8989,-5.48528,-7.3193,0.46449
3.8989,-5.54035,-7.6545,0.66082
3.8998,-5.43022,-7.9059,0.7925
3.9588,-5.87794,-7.79815,1.27615
3.9598,-5.90907,-7.79336,1.31206
3.9598,-5.8133,-7.98012,1.22826
4.0185,-5.69837,-8.04716,1.05348
4.0185,-5.99048,-7.9873,1.66402
4.0185,-6.32807,-8.38954,2.67201
4.0786,-6.12695,-8.51644,2.98566
4.0788,-6.47412,-8.56193,3.69676
4.0788,-6.8165,-7.97054,2.94496
4.1386,-5.76063,-6.85241,0.80448
4.1386,-5.33444,-7.11578,0.05986
4.1386,-4.54673,-7.50126,0.35435
4.1984,-4.80531,-7.65929,1.31685
4.1984,-4.95854,-7.1493,1.35037
4.1987,-5.2674,-6.55074,1.52994
4.2597,-5.70556,-6.66327,1.5467
4.2608,-6.34722,-7.26423,1.8412
4.2608,-6.69918,-7.42943,1.93936
4.3191,-6.34483,-7.18522,1.755
4.3191,-6.3568,-7.57788,2.03274
4.3191,-6.82129,-8.62178,2.77018
4.3794,-7.19958,-8.9905,3.16763
4.3794,-5.29135,-7.55633,2.70792
4.38,-6.04315,-7.42465,2.09738
4.4401,-5.20037,-5.95456,1.93936
4.4401,-5.65767,-7.17804,1.22347
4.4401,-7.31212,-8.6577,0.8356
4.5006,-9.33049,-11.84448,2.50202
4.5006,-8.88037,-9.18923,1.59459
4.5006,-6.58426,-6.17005,0.90025
4.5601,-4.36716,-4.77897,-1.30009
4.5612,-4.77658,-5.23149,-1.69515
4.5612,-6.30173,-6.83565,-1.15883
4.6207,-6.13653,-7.68562,-0.23224
4.6207,-6.22751,-8.11899,-1.59459
4.6207,-6.94579,-8.60263,-1.34558
4.6814,-6.55552,-8.13575,0.01676
4.6814,-5.91625,-7.8628,0.97208
4.6814,-6.00484,-7.91787,0.7518
4.7436,-5.61697,-8.11899,-0.05986
4.7436,-4.75982,-8.91867,-0.92898
4.7436,-4.62574,-9.75428,-0.76617
4.8001,-4.12773,-9.5771,-0.90025
4.8001,-4.56828,-9.1174,-1.0056
4.8001,-5.17163,-8.74629,-0.92898
4.8587,-5.8133,-8.41348,-0.75659
4.8597,-5.71992,-8.23391,-0.65603
4.8597,-5.41346,-8.11899,-0.55068
4.9216,-5.29614,-8.31532,-0.42858
4.9217,-5.37036,-8.2818,-0.40463
4.9217,-5.74626,-8.30813,-0.16281
4.9802,-6.17962,-8.1142,-0.2107
4.9802,-6.14371,-8.24828,0.02155
4.9802,-5.37036,-8.43982,-0.09098
5.0391,-4.96094,-8.62178,-0.10295
5.0391,-4.98488,-8.63375,-0.06465
5.0391,-5.13093,-8.48292,0.03831
5.1011,-5.46374,-8.54996,0.22267
5.1011,-5.13572,-8.48052,0.1676
5.1012,-4.64968,-8.49249,-0.05267
5.1606,-4.70236,-8.62657,0.01197
5.1616,-4.7239,-8.61221,0.11732
5.1616,-4.89869,-8.81093,0.09817
5.2194,-4.87714,-8.97135,0.11493
5.2194,-5.00643,-8.79178,0.02394
5.2199,-5.11178,-8.59545,-0.28731
5.2787,-4.73588,-8.55953,-0.11253
5.2787,-4.76461,-8.75586,0.02394
5.2787,-4.7694,-9.12937,0.41421
5.3429,-4.6401,-9.36401,0.33999
5.3429,-4.4342,-9.54597,0.05028
5.3429,-4.18998,-9.90512,-0.33759
5.3998,-4.10858,-9.76625,0.17718
5.3998,-4.0152,-9.33528,1.23066
5.4004,-4.67602,-9.64893,1.51797
5.4614,-5.86118,-10.621,0.96729
5.4626,-6.1078,-10.08469,0.57702
5.4626,-5.72232,-9.04078,1.09179
5.5195,-5.92583,-8.43503,1.23305
5.5195,-6.92424,-7.99448,1.2115
5.5195,-7.50845,-7.13494,0.79969
5.5813,-7.13015,-6.40469,-0.26098
5.5813,-8.15251,-6.80453,0.71589
5.5813,-7.64013,-8.71995,1.26178
5.642,-5.5188,-9.79019,0.49322
5.642,-4.69757,-9.17965,0.54829
5.642,-5.33205,-8.09265,1.38389
5.7017,-6.01921,-7.21874,1.78613
5.7017,-6.28258,-6.51482,1.5898
5.7017,-6.12216,-6.25385,1.19474
5.7626,-5.62655,-6.46215,1.35037
5.7638,-5.65528,-6.72791,1.56346
5.7638,-5.43022,-6.54834,1.59698
5.8195,-5.72711,-6.55552,1.73585
5.8195,-6.07667,-6.62256,2.10457
5.8195,-6.19638,-6.70158,2.31526
5.8799,-6.05273,-6.74707,2.31766
5.8799,-5.89949,-7.07508,2.62173
5.88,-5.62655,-7.5707,2.70792
5.9442,-6.03836,-7.4438,2.91383
5.9442,-5.93541,-7.35761,3.50282
5.9442,-6.07428,-7.21874,3.3448
6.0004,-6.47891,-7.36239,3.09819
6.0004,-6.74707,-7.20916,2.78454
6.0004,-6.4406,-6.62256,2.78694
6.0608,-6.59862,-7.0679,3.56747
6.0619,-6.17962,-7.92744,4.5587
6.0619,-5.53556,-8.86121,4.90826
6.12,-4.78376,-9.15571,4.0559
6.1201,-4.91545,-8.41109,3.04312
6.1201,-5.71992,-7.71435,4.6856
6.1808,-5.82048,-6.26821,1.77176
6.1808,-4.3073,-4.04154,-1.60656
6.1808,-4.60898,-5.67683,0.7925
6.2392,-5.52838,-7.27141,2.64089
6.2392,-6.1485,-7.24747,3.42621
6.2392,-6.24666,-7.47253,3.79732
6.2998,-5.92822,-7.73111,3.5148
6.2998,-6.024,-7.48211,3.12692
6.2998,-6.39271,-7.08945,2.8875
6.3607,-6.5675,-6.41905,2.98327
6.3618,-6.80213,-6.37595,2.95454
6.3618,-6.78059,-6.7734,2.70792
6.4203,-7.41267,-7.56112,2.83722
6.4203,-9.11261,-9.23472,3.30889
6.4204,-8.00646,-9.74709,3.21791
6.4802,-5.85161,-8.97135,2.75102
6.4803,-4.1397,-7.6928,0.57223
6.4803,-4.83165,-7.18761,-0.40703
6.5398,-5.69119,-7.08226,0.07662
6.5398,-6.16526,-7.16846,0.42618
6.5399,-6.29694,-7.36479,1.38629
6.6014,-5.82048,-7.71196,1.57783
6.6014,-5.4374,-8.17405,1.07264
6.6014,-5.02798,-8.37996,1.12291
6.6592,-5.28177,-8.58826,1.40544
6.6603,-5.80133,-8.6146,0.88109
6.6603,-5.88273,-7.98491,0.42379
6.7206,-5.66725,-7.55873,0.70392
6.7206,-5.41585,-8.02561,0.8356
6.7206,-5.32008,-8.51644,0.71828
6.7816,-5.17403,-8.66488,0.03352
6.7816,-5.23388,-8.43742,-0.81405
6.7816,-5.56669,-8.15969,-0.77096
6.8404,-5.71992,-7.89392,-0.40942
6.8404,-5.84921,-7.81252,-0.39266
6.8404,-6.10061,-7.8197,-0.38069
6.9005,-6.25624,-7.89392,-0.35435
6.9005,-6.19399,-7.97533,-0.29928
6.9005,-5.72471,-8.22912,-0.34717
6.959,-5.37275,-8.56911,-0.72547
6.9611,-5.21952,-8.55953,-0.84757
6.9611,-5.24825,-8.35841,-0.62251
7.0208,-5.18121,-8.50686,-0.40224
7.0208,-5.23149,-8.5332,-0.07422
7.0208,-5.55951,-8.25785,0.06225
7.08,-6.00484,-8.2818,0.54111
7.08,-5.85879,-8.34884,0.71349
7.08,-5.55711,-8.27461,0.22746
7.1402,-5.62655,-8.24349,-0.10535
7.1402,-5.73668,-8.07349,-0.09098
7.1402,-5.81809,-8.05195,0.51956
7.1999,-5.65767,-8.1956,1.36474
7.2005,-5.27938,-8.40151,1.32882
7.2005,-5.0591,-8.46137,0.60575
7.2608,-5.10938,-8.55474,-0.09338
7.2619,-4.76461,-8.6984,-0.5435
7.2619,-4.63292,-8.75347,-0.97447
7.3201,-4.74066,-8.39193,-0.93377
7.3201,-4.96573,-8.1956,-0.8356
7.3201,-5.49247,-7.9897,-0.82363
7.3796,-5.61697,-8.43742,-0.72307
7.3796,-5.09981,-8.4039,-0.8356
7.3796,-4.95375,-8.49489,-0.99841
7.4398,-5.28895,-8.87558,-1.11094
7.4399,-5.57627,-9.00726,-1.06785
7.4399,-5.54993,-8.77741,-0.80687
7.5,-5.4781,-8.86361,-0.66321
7.5,-5.13572,-8.92346,-1.30727
7.5,-4.82686,-8.41827,-1.77176
7.5603,-5.05671,-7.80294,-1.64487
7.5612,-5.73908,-7.99927,-1.52515
7.5612,-5.99287,-8.14772,-1.20432
7.6346,-5.97132,-8.39433,-0.93616
7.6346,-5.80372,-8.6984,-0.65603
7.6346,-5.66007,-8.95459,-0.33999
7.6808,-5.33205,-8.9498,1.18517
7.6809,-4.99446,-8.62418,-0.02873
7.6809,-4.77897,-8.38236,-1.05827
7.7385,-4.77897,-8.2387,-0.98405
7.7385,-4.88432,-8.24828,-0.77096
7.7385,-4.97291,-7.76703,-1.24263
7.7991,-5.21712,-7.23789,-1.42459
7.7991,-5.95456,-7.58985,-0.99362
7.8013,-6.15568,-7.90829,-0.59378
7.8596,-5.75344,-7.87716,-0.25858
7.8607,-5.03995,-8.09983,-0.22746
7.8608,-4.32645,-8.62178,-0.84757
7.9186,-4.03914,-9.16768,-0.94574
7.9186,-4.21632,-9.33528,-0.19154
7.9186,-4.48927,-9.39992,0.5028
7.9799,-4.66644,-9.41908,0.81884
7.9799,-4.5563,-9.58189,1.22347
7.98,-4.1804,-10.14215,1.3791
8.039,-3.14368,-10.49171,1.31446
8.0396,-2.42301,-10.72875,1.39107
8.0396,-2.07344,-10.81733,1.72388
8.0985,-2.66722,-10.92029,1.5467
8.0985,-4.07266,-11.04,0.95292
8.0985,-5.15727,-9.57949,0.9194
8.1606,-6.76143,-8.5739,1.54431
8.1618,-8.96177,-8.41588,1.02714
8.1618,-9.56034,-8.29137,-0.11732
8.2213,-10.71438,-9.02642,-1.07742
8.2213,-10.98733,-9.46936,-1.55867
8.2213,-8.31771,-8.24828,1.06545
8.2805,-8.08068,-8.1956,2.08541
8.2805,-6.91945,-8.62178,2.12372
8.2805,-3.52437,-10.39355,1.83401
8.3405,-4.37195,-10.05595,1.2953
8.3408,-5.79654,-8.56911,2.25301
8.3408,-6.45736,-6.24427,1.76458
8.3999,-6.04794,-4.67841,1.30967
8.3999,-5.08783,-3.92661,1.88908
8.3999,-5.6026,-3.87154,1.46769
8.4613,-5.59542,-3.53634,1.60895
8.4623,-5.25783,-3.69915,1.15643
