@RELATION fall

@ATTRIBUTE index INTEGER
@ATTRIBUTE meanV REAL
@ATTRIBUTE meanH REAL
@ATTRIBUTE meanM REAL
@ATTRIBUTE mstdV REAL
@ATTRIBUTE stdH REAL
@ATTRIBUTE stdM REAL
@ATTRIBUTE dofall {yes,no}

@DATA
0,2.461266751,1.672953501,2.976186872,0.049020057,0.07317051,0.080036313,yes
1,2.455033444,1.674355184,2.971746505,0.058818722,0.070646742,0.087590553,yes
2,2.424205807,1.640274489,2.927217476,0.074102131,0.098685506,0.116490391,yes
3,2.364873906,1.565855407,2.836671549,0.091126807,0.122082655,0.143147172,yes
4,2.303148674,1.48243787,2.739558018,0.107857483,0.142114429,0.167337678,yes
5,2.253338801,1.406806703,2.657057136,0.097771477,0.135966217,0.154616809,yes
6,2.233146559,1.362199625,2.616226329,0.073949691,0.099184746,0.112561683,yes
7,2.232620227,1.341027215,2.604537528,0.073036653,0.06259085,0.091739495,yes
8,2.269862332,1.360374362,2.646385281,0.108484276,0.090120955,0.138973273,yes
9,2.331775484,1.414658534,2.727569066,0.116789942,0.115480186,0.159621111,yes
10,2.396467393,1.488429045,2.821419117,0.091987557,0.113441258,0.137548427,yes
11,2.420332644,1.536090946,2.866999366,0.063171017,0.08830401,0.095725393,yes
12,2.418499021,1.562809303,2.879759712,0.066371385,0.05458692,0.074181743,yes
13,2.388701586,1.568445881,2.857724322,0.096022102,0.04534406,0.102167234,yes
14,2.33468257,1.577964464,2.818421098,0.114644319,0.048448836,0.109599006,yes
15,2.244678131,1.536374426,2.72055329,0.133553504,0.072304584,0.141720149,yes
16,2.12523726,1.467743371,2.583176047,0.211757015,0.140622712,0.249494871,yes
17,1.973067425,1.394431026,2.416542973,0.2913008,0.180693857,0.338670474,yes
18,1.798957933,1.329070532,2.237946264,0.331039592,0.185591936,0.369966052,yes
19,1.616520137,1.219086523,2.026318846,0.306901958,0.133759675,0.322113346,yes
20,1.481677631,1.123868836,1.861250578,0.202629497,0.118704535,0.218848211,yes
21,1.45721232,1.070738333,1.812006158,0.157579912,0.109648601,0.141710089,yes
22,1.6027759,1.083895499,1.941923501,0.411666915,0.128069977,0.38947145,yes
23,1.917602897,1.165373284,2.249579774,0.70757861,0.265842467,0.734641383,yes
24,2.380507112,1.364296557,2.745377693,0.916761962,0.46452435,1.022257811,yes
25,2.953260358,1.742360546,3.431598667,1.016455431,0.733690478,1.244429736,yes
26,3.569307944,2.264571683,4.235264166,0.979752113,0.952156199,1.334163623,yes
27,4.067979113,2.801733598,4.952125164,0.781082372,0.988889138,1.196356287,yes
28,4.393079301,3.203164059,5.445720242,0.494548141,0.756533309,0.83447078,yes
29,4.539940797,3.491224868,5.73025862,0.247407643,0.399522704,0.41909546,yes
30,4.478406532,3.577433757,5.732680075,0.356798438,0.237412287,0.414536317,yes
31,4.239384101,3.464219824,5.47526481,0.498379829,0.341442559,0.598586024,yes
32,3.937583228,3.228903627,5.092744186,0.54069134,0.346318773,0.63655717,yes
33,3.627702829,3.037643723,4.731902399,0.51409378,0.352824354,0.620109703,yes
34,3.354857986,2.889383876,4.428363381,0.3931668,0.255250735,0.459613301,yes
35,3.162697108,2.785320371,4.215263956,0.254908449,0.141701675,0.274450579,yes
36,3.041568982,2.715469717,4.078132924,0.135702423,0.051135767,0.114964804,yes
37,2.977775338,2.690454531,4.013502931,0.037699445,0.0585103,0.04125435,yes
